Gene ID	ZT_15_30: LogFC	ZT_15_30: FDR	ZT_0_15: LogFC	ZT_0_15: FDR	ZT_5_45:LogFC	ZT_5_45:FDR	ZT_11_15:LogFC	ZT_11_15:FDR
A1BG	2.210043109	0.409750915	-0.398860908	0.867480288	0.303808296	0.968429778	0.105549705	0.992334878
A1BG-AS1	0.218709674	0.951303115	0.878683333	0.500139019	0.270452561	0.957793065	0.246723638	0.946999308
A1CF	-1.983995974	0.404129243	0.34611975	0.889925075	-2.982655856	0.368253052	0.385938051	0.940047514
A2LD1	-0.416511943	0.418219888	-0.004444489	0.998947191	-0.542558118	0.237680315	-0.369372994	0.461866828
A2M	0.22181881	0.797154196	0.286807697	0.53238924	-0.043303366	0.985825889	0.15933881	0.873027401
A2ML1	-0.460299179	0.897728608	0.147726628	0.945651021	-0.257265062	0.968429778	-0.179541663	0.971451041
A4GALT	0.071581038	0.975862345	0.292830197	0.761488507	-0.35450354	0.850849225	0.643683346	0.560932665
A4GNT	1.320755265	0.576176177	0.551079813	0.738122058	0.074582099	0.998152422	0.848452895	0.717683414
AAA1	-0.892834184	0.861070536	-0.909049785	0.765583981	0.241833398	0.985126163	-1.060500554	0.831780725
AAAS	-0.106984722	0.936148996	0.092231041	0.892456551	-0.104644138	0.955434052	-0.450743549	0.471281418
AACS	-1.160761312	0.39900928	-0.35538741	0.7875737	-1.229473832	0.392344387	-0.965464706	0.471281418
AACSP1	-2.053860598	0.658840548	1.174691321	0.660095431	-1.237847275	0.834077254	-3.331357503	0.437631133
AADAC	-0.483483499	0.871619606	-0.394318012	0.821304654	-0.593946915	0.863686821	-0.861532836	0.671235006
AADACL2	0.17757806	0.985658233	0.357281261	0.94363342	-0.66383108	0.957793065	0.095545837	0.998528698
AADACL3	3.036066986	0.296592611	2.315774128	0.276517123	-2.379309473	0.448339098	1.955125982	0.530277615
AADAT	0.235118169	0.836654896	0.474827531	0.359682665	0.101581537	0.966231921	0.096032591	0.954720889
AAGAB	-0.137104972	0.932652563	-0.425374403	0.450842114	0.114472325	0.961772612	-0.189187457	0.886165593
AAK1	-0.562098125	0.216693496	-0.329110519	0.395048942	-0.300481059	0.703288345	-0.717566591	0.044221164
AAMP	0.131382726	0.874931196	-0.020671572	0.977307427	-0.265825956	0.708159954	-0.187647644	0.761575254
AARS	0.192394528	0.703357799	0.224400753	0.445227109	-0.227140635	0.692342146	-0.050925377	0.955919013
AARS2	-0.074642707	0.956918515	0.070882171	0.927860692	-0.365047746	0.728507341	0.192989223	0.860683345
AARSD1	-0.118506362	0.938773178	0.196655318	0.785459532	-0.331382465	0.795833652	0.187917255	0.881619664
AASDH	-0.132599796	0.864468123	-0.092461747	0.843034976	-0.18963676	0.825234719	-0.177416012	0.776307027
AASDHPPT	-0.016333361	0.990150182	-0.181737276	0.700233162	0.37118719	0.564570902	0.180093763	0.812129868
AASS	-0.747664583	0.320835147	-0.698758594	0.177201704	-0.869123018	0.220989249	-0.985345481	0.06911318
AATF	0.132455443	0.827747841	-0.006243199	0.997818913	-0.099100906	0.919287027	-0.003161204	1
AATK	-0.180941441	0.964995931	-2.298001365	0.075364707	-0.373066711	0.944956756	-0.076010533	0.996500401
ABAT	-0.424134006	0.674688602	-0.735299172	0.153282411	-0.399140059	0.754045477	-0.59697058	0.44935045
ABCA1	-0.341720249	0.430070335	-0.194757942	0.57030704	-0.178393792	0.819093136	-0.308460778	0.465105476
ABCA10	0.240705623	0.747952157	0.250193026	0.558082888	-0.224681657	0.819567815	0.035032481	0.983841062
ABCA11P	-0.701924025	0.227729802	-0.449846738	0.311247166	0.18506671	0.907679057	-0.335117464	0.661770288
ABCA12	3.014724196	0.404129243	0.666275637	0.838384079	-2.862267018	0.460118645	-0.789922403	0.895931897
ABCA13	-0.517823781	0.956918515	-2.60608228	0.499335025	1.300010592	0.912996071	0.411030065	0.975464893
ABCA17P	-0.352463449	0.945444376	1.090787758	0.653396021	-0.638788908	0.943297626	-0.029638176	0.998528698
ABCA2	0.117868051	0.933314808	0.442450103	0.313613696	0.145008741	0.934205689	0.056298586	0.974782156
ABCA3	0.015508175	0.992770931	0.391542951	0.471615962	-0.021330326	1	-0.264634599	0.794576839
ABCA4	0.373467983	0.942061925	0.114971622	0.974479289	-0.881505821	0.857292261	-0.292381183	0.958382005
ABCA5	0.153462085	0.890209207	0.084227757	0.896635446	0.073988905	0.969242703	0.079844725	0.95376098
ABCA6	0.341004675	0.471577728	0.232781466	0.497208143	0.01059541	1	-0.146686601	0.829585151
ABCA7	0.209988971	0.942350037	-0.295732119	0.841246256	-0.233239276	0.956954485	-0.431696235	0.847614857
ABCA8	0.25593595	0.72781249	0.357537162	0.365671556	0.277589379	0.747394439	0.173366756	0.836897847
ABCA9	-0.047648146	0.970580861	0.202160338	0.688021339	-0.059329416	0.975284933	-0.283692975	0.67212556
ABCB1	-0.369529283	0.85624007	-0.482799422	0.634277017	0.631654723	0.726310705	0.54214404	0.718925846
ABCB10	-0.098309786	0.938979641	-0.130503158	0.838651965	0.083379603	0.968398099	-0.185192041	0.848277653
ABCB11	-1.271515475	0.287045002	-1.663473862	0.031339071	-1.498813485	0.159356174	-1.453150436	0.119543125
ABCB4	0.523744832	0.699101542	0.100464415	0.931309671	0.12071426	0.97148053	-0.921221384	0.30088573
ABCB5	-0.154797114	0.971964938	-0.297816758	0.887218206	0.205270879	0.974496025	-0.441796887	0.90458509
ABCB6	0.187352619	0.853532848	0.25615097	0.633304419	-0.104780764	0.95500504	-0.151217162	0.891081961
ABCB7	-0.29633848	0.476211487	-0.376009476	0.122250144	-0.108317076	0.90611307	-0.360611625	0.275664689
ABCB8	0.214327204	0.904702432	0.203781976	0.833939263	-0.156383117	0.95608826	-0.31550253	0.813272906
ABCB9	0.700928617	0.895170617	-0.081762139	0.977570827	-0.35079001	0.950732069	-0.675141949	0.832596067
ABCC1	0.46706906	0.464588189	0.209630804	0.700643189	0.416931945	0.578590052	0.548416042	0.296481383
ABCC10	-0.192233178	0.901843726	0.047311607	0.964328702	0.380303819	0.780805596	0.139619394	0.933617647
ABCC11	-2.049981914	0.491024805	1.042315442	0.649662339	0.334818091	0.968429778	-0.965870869	0.738473663
ABCC13	-0.029603398	0.995761806	-3.186830084	0.139378579	0.453230255	0.966231921	-0.892154304	0.837904135
ABCC2	0.128841255	0.951533109	0.380386745	0.624617886	0.20401049	0.943297626	0.649773578	0.551838211
ABCC3	1.937679786	0.179483815	1.914398496	0.069325499	1.193620534	0.552860999	2.210584784	0.063165287
ABCC4	-0.149595527	0.945396514	-0.405936884	0.658991862	0.075999456	0.987200274	0.170710854	0.940252711
ABCC5	0.261515873	0.772890945	0.397368987	0.375494523	-0.063768823	0.9761767	-0.143541719	0.903850937
ABCC6	0.306302121	0.81918716	0.927325455	0.106085133	-0.004470326	1	-0.035761841	0.994988829
ABCC6P1	0.895647801	0.758244185	2.063777985	0.207414768	-0.013409077	1	-0.910654768	0.79663568
ABCC8	-0.137178539	0.9895421	1.169301497	0.769006135	3.125833763	0.519515413	1.009118207	0.896475221
ABCC9	-0.712067886	0.151133248	-0.645854376	0.086201876	-0.6499282	0.237680315	-0.668362085	0.133417567
ABCD1	0.974357823	0.556052623	-0.029626562	0.993510996	-0.53760297	0.834077254	-0.033838928	0.998349492
ABCD2	-0.415659943	0.618403263	0.311611817	0.596642336	-0.260356998	0.849562077	-0.622455575	0.316137632
ABCD3	-0.148662663	0.802236432	-0.031290082	0.94735689	-0.057040295	0.966231921	-0.136358453	0.812544418
ABCD4	-0.211802077	0.780914849	-0.014863441	0.9889088	-0.043491076	0.981536783	-0.240548411	0.698613944
ABCE1	-0.004201687	0.997061444	-0.152194877	0.699827415	-0.106161902	0.926387283	0.060653591	0.952324727
ABCF1	0.075837818	0.924518904	0.208613051	0.481935484	-0.196151504	0.747367264	-0.000681203	1
ABCF2	0.196572312	0.778425637	0.041882009	0.944136069	-0.203695765	0.819567815	0.249106868	0.666346244
ABCF3	-0.212567577	0.774822574	-0.151256369	0.75675231	-0.173918448	0.873015165	-0.039890413	0.979105254
ABCG1	-0.417401679	0.717171143	-1.140539742	0.052650197	-0.68278731	0.474523248	0.09200636	0.965350523
ABCG2	0.628838581	0.734890551	0.347679052	0.788993987	-0.339830485	0.92361422	0.626707006	0.699063819
ABCG5	1.478781789	0.409750915	-0.047449948	0.988107366	-0.88954982	0.739685899	0.402429163	0.871630141
ABCG8	-0.493587457	0.945444376	-0.532076948	0.895005455	-0.685724779	0.949727472	-3.769632605	0.209888032
ABHD1	0.040657113	0.987482792	0.326009709	0.758357501	0.44321768	0.834077254	0.112099729	0.968228687
ABHD10	-0.071709887	0.933079963	-0.146035944	0.668523684	-0.112890045	0.900228573	-0.130089923	0.819756577
ABHD11	0.164545739	0.947665815	-0.363301875	0.731980031	0.280721367	0.924467638	0.227311488	0.913686198
ABHD12	0.3313087	0.643324191	0.441321596	0.269605092	0.421684731	0.558189039	0.264808654	0.725319052
