HIVE:	GENE_SYMBOL	10090:Mus_musculus:mmusculus
Gene	Gene	Amacrine:EARLY	Amacrine:LATE	Bipolar:EARLY	Bipolar:LATE	Cone	Endothelial	Microglia	Muller	Pericyte	RGC
Rpgrip1	-0.71:0.043:0.025:0.186	-0.46:1:0.963:0.988	-0.44:1:0.188:0.235		-0.46:1:0.963:0.988	-0.3:1:0:0.182			1.27:1:0.154:0	-0.22:1:0:0.143	-0.22:1:0.814:0.82
Ccdc126	-0.33:0.0819:0.006:0.137	-0.32:1:0.173:0.259		0.27:1:0.133:0.053	-0.32:1:0.173:0.259	0.3:1:0.143:0.091	0.27:1:0.133:0.053				
Epha6	0.78:0.616:0.46:0.288										
4930578G10Rik	0.6:0.84:0.286:0.124	0.82:1:0.321:0.099			0.82:1:0.321:0.099				-0.78:1:0:0.154	-0.39:1:0.25:0.286	
Kif21b	-0.48:1:0.006:0.106	-0.39:1:0.111:0.21		1.09:1:0.2:0.105	-0.39:1:0.111:0.21		1.09:1:0.2:0.105	-0.27:0.0106:0.005:0.124		-0.22:1:0:0.286	
Nrg3	0.48:1:0.876:0.77		-0.23:1:0.218:0.242								
Unc119	-1.3:1:0.025:0.133		-0.17:0.629:0.917:0.956						0.97:1:0.154:0		
Dlgap1	0.57:1:0.764:0.659		-0.23:1:0.186:0.254							-0.19:1:1:0.714	
G630016G05Rik	0.42:1:0.193:0.075										
Mapt	0.47:1:0.72:0.571					-0.23:1:0.143:0.273					
Pnisr	0.4:1:0.764:0.65			0.59:1:0.2:0.211		0.91:1:0.5:0.364	0.59:1:0.2:0.211		1.5:1:0.462:0.154	0.32:1:0.875:0.857	
Eid1	0.66:1:0.497:0.367			-0.19:1:0.2:0.158		-0.48:1:0.214:0.364	-0.19:1:0.2:0.158		0.9:1:0.308:0.154	0.72:1:0.75:0.429	0.3:1:0.261:0.227
Sec11a	-0.51:1:0.081:0.208			-0.25:1:0.2:0.211		0.7:1:0.286:0.091	-0.25:1:0.2:0.211		-0.61:1:0.154:0.462		
