HIVE:	GENE_SYMBOL	10090:Mus_musculus:mmusculus
Gene	Amacrine:EARLY	Amacrine:LATE	Amacrine:MID	Astrocyte:EARLY	Astrocyte:LATE	Astrocyte:MID	Bipolar:EARLY	Bipolar:LATE	Bipolar:MID	Cone:EARLY	Cone:LATE	Cone:MID	Endothelial:EARLY	Endothelial:LATE	Endothelial:MID	Horizontal:EARLY	Horizontal:LATE	Horizontal:MID	Microglia:EARLY	Microglia:LATE	Microglia:MID	Muller:Glia-EARLY	Muller:Glia-LATE	Muller:Glia-MID	Pericyte:EARLY	Pericyte:LATE	Pericyte:MID	RGC:EARLY	RGC:LATE	RGC:MID	Rod:EARLY	Rod:LATE	Rod:MID	RPE:EARLY
mt-Nd3	0.5:9.72e-18:0.987:0.968	-0.4:2.4e-7:0.962:0.993	0.63:9.11e-13:0.989:0.969				0.22:8.34e-10:0.999:0.998	-0.21:3.56e-15:0.98:0.996	0.22:0.0464:0.995:0.993		-0.53:9.01e-13:0.957:0.995													0.55:1.41e-7:0.98:0.976							0.87:8.14e-62:0.932:0.863	-0.35:1.27e-19:0.881:0.937		
Gnb1	0.38:0.0121:0.414:0.284	0.35:1.37e-9:0.385:0.217	0.78:0.00000158:0.483:0.313																												0.18:0.00531:0.986:0.993		0.32:4.68e-12:0.995:0.999	
mt-Nd1	0.37:1.01e-8:0.992:0.995	-0.33:8.55e-7:0.97:0.996						-0.25:8.94e-24:0.987:0.997			-0.67:6.39e-23:0.922:0.989																				0.79:1.41e-48:0.93:0.836	-0.26:2.1e-8:0.842:0.911		
Meg3	0.33:0.0000318:0.994:0.994		0.65:1.06e-12:0.998:0.993					-0.24:0.00014:0.759:0.792																										
ENSMUSG00000095041	0.31:0.00000179:0.588:0.482																																	
Sox4	0.28:0.00465:0.441:0.369		0.46:0.0000492:0.495:0.382																															
Cirbp	0.26:0.0471:0.768:0.784	0.47:2e-10:0.752:0.714	0.53:7.36e-16:0.963:0.912				0.24:2.58e-12:0.906:0.86	0.27:1.53e-12:0.875:0.862	0.34:1.02e-17:0.95:0.918			0.49:0.00103:0.838:0.637																					0.31:1.57e-13:0.781:0.685	
Mir181a-1hg	0.25:0.0000691:0.39:0.263		0.77:4.57e-27:0.494:0.209																															
Insig1	0.25:0.0247:0.608:0.56	-0.39:0.0133:0.493:0.562	0.46:5.48e-7:0.835:0.697																				-0.34:0.00314:0.256:0.36											
Rbm25	0.23:0.000534:0.81:0.768		0.48:3.27e-11:0.832:0.73																														0.19:0.000441:0.454:0.364	
Thoc2l	0.22:0.00126:0.569:0.518		0.29:0.00455:0.673:0.564																														0.18:0.0000056:0.269:0.179	
Srsf2	0.21:0.0225:0.76:0.738		0.43:8.32e-9:0.878:0.789						0.21:0.00881:0.779:0.766																									
Cers4	0.2:0.0035:0.502:0.434							-0.25:3.79e-8:0.638:0.721																									0.21:0.0000308:0.487:0.389	
Nfat5	0.18:0.0022:0.431:0.347		0.29:0.00245:0.512:0.396																															
Elovl4	0.18:0.00158:0.392:0.314	0.17:0.0000337:0.44:0.287																												1.24:0.017:0.857:0.333			0.29:5.21e-11:0.858:0.774	
Tmem130	0.18:0.0266:0.424:0.335		0.48:1.14e-11:0.545:0.358																															
Pcbp4	0.17:0.00000237:0.263:0.126							-0.19:0.00000329:0.706:0.772																									0.18:0.00198:0.784:0.755	
Tob2	0.17:0.0174:0.269:0.226		0.5:8.42e-14:0.408:0.223						0.23:6.84e-8:0.341:0.234																								0.27:1.49e-11:0.553:0.43	
Pkn2	0.16:0.0144:0.493:0.412																																	
Trim2	0.15:0.038:0.361:0.311		0.25:0.0171:0.431:0.327																														0.16:0.000184:0.331:0.238	
Hsph1	-0.19:0.000351:0.185:0.28									-0.35:0.00031:0.317:0.487																								
Chordc1	-0.2:0.00804:0.341:0.448																					-0.19:0.00911:0.269:0.398												
Hsp90b1	-0.24:0.000107:0.864:0.906						-0.49:2.08e-54:0.813:0.906	-0.44:3.38e-31:0.763:0.828		-0.46:3.27e-8:0.779:0.887	-0.51:0.00000205:0.706:0.836											-0.28:0.000875:0.805:0.864										-0.55:1.23e-15:0.48:0.572		
Manf	-0.25:0.0000119:0.431:0.545																																	
Pdia6	-0.25:0.0000302:0.505:0.617						-0.19:8.87e-9:0.462:0.569			-0.32:0.000839:0.357:0.524																						-0.3:0.0066:0.157:0.217		
Hspa5	-0.27:0.00011:0.777:0.827																																	
Nupr1	-0.27:0.029:0.13:0.199																						0.39:0.0000109:0.736:0.617											
Hspe1	-0.28:0.00316:0.645:0.736						-0.18:5.65e-7:0.729:0.789															-0.23:0.03:0.668:0.791												
H4c8	-0.28:9.71e-15:0.102:0.259							0.37:1.47e-22:0.19:0.072														-0.38:1.31e-15:0.119:0.309	0.26:0.0000134:0.303:0.158											
Rpl30	-0.3:0.00773:0.827:0.888		0.37:0.000175:0.96:0.924				-0.17:4.97e-7:0.97:0.974															-0.38:4.54e-11:0.965:0.983												
Rpl23	-0.3:0.0117:0.788:0.867		0.33:0.00611:0.94:0.929				-0.18:5.1e-9:0.972:0.975	-0.19:1.8e-10:0.918:0.962														-0.39:1.76e-11:0.959:0.986												
Rpl26	-0.3:0.00739:0.783:0.846		0.48:4.48e-7:0.923:0.879				-0.18:0.00000144:0.94:0.962	-0.16:0.000154:0.886:0.948														-0.4:7.55e-11:0.94:0.975												
Rps23	-0.32:0.000561:0.769:0.835		0.61:6.24e-12:0.899:0.832																			-0.35:0.00000137:0.95:0.98												
Rpl35a	-0.32:0.00352:0.791:0.862		0.44:4.63e-7:0.952:0.891				-0.16:0.0000343:0.961:0.969															-0.34:7.78e-9:0.95:0.984												
H1f4	-0.33:4.78e-9:0.272:0.445	0.34:0.0000144:0.354:0.218	0.41:5.95e-13:0.318:0.109				-0.42:9.49e-34:0.228:0.372	0.46:1.42e-23:0.423:0.257														-0.53:9.07e-10:0.43:0.503	0.44:2.14e-9:0.589:0.393								-0.27:3.79e-22:0.133:0.274	0.49:4.73e-11:0.277:0.172		
Rps24	-0.34:0.00823:0.793:0.875		0.38:0.00125:0.952:0.931				-0.28:2.59e-23:0.974:0.978		0.25:7.9e-8:0.987:0.994			0.66:0.0000238:0.914:0.795										-0.5:6.82e-20:0.959:0.983											0.32:1.24e-7:0.848:0.843	
H4c4	-0.83:9.69e-38:0.423:0.576	0.38:8.12e-7:0.571:0.428	0.45:3.29e-10:0.453:0.268				-0.57:1.88e-42:0.341:0.441	0.68:3.47e-45:0.662:0.469		-0.49:7.51e-7:0.198:0.366	0.75:1.17e-8:0.496:0.273											-0.64:1.82e-18:0.383:0.534	0.48:1.16e-13:0.696:0.469								-0.28:1.31e-23:0.125:0.268	0.72:2.34e-30:0.382:0.206		
Cartpt	-1.39:0.0205:0.169:0.211																																	
Ddx17		0.54:3.16e-12:0.695:0.522	0.59:7.18e-17:0.704:0.422					0.46:3.56e-19:0.737:0.635																								0.33:0.00101:0.506:0.432	0.25:3.06e-11:0.456:0.351	
Rbm3		0.48:1.42e-12:0.66:0.521	0.69:4.58e-23:0.881:0.692					0.91:3.33e-98:0.689:0.394	0.5:1.5e-36:0.676:0.426		0.76:1.69e-11:0.651:0.406												0.82:1.64e-42:0.847:0.576	0.33:0.00915:0.812:0.721								0.84:2.1e-50:0.41:0.186	0.37:6.83e-32:0.42:0.215	
Kcnip4		0.43:0.00137:0.307:0.196	0.35:0.00582:0.293:0.185																				0.16:2.63e-8:0.121:0.024											
Lars2		0.41:0.0000359:0.238:0.128	0.16:0.00157:0.192:0.045					0.22:2.8e-11:0.208:0.112															0.3:1.87e-7:0.332:0.167									0.45:1.37e-15:0.224:0.112		
Slc23a2		0.4:0.0000986:0.379:0.248	0.26:0.00119:0.446:0.289																															
Chd9		0.35:0.0219:0.654:0.536	0.45:3.05e-9:0.707:0.538					0.25:0.0002:0.7:0.633																									0.24:4.11e-12:0.384:0.259	
Mir124a-1hg		0.35:0.000642:0.863:0.772					0.51:4.43e-38:0.832:0.776	0.32:0.000092:0.855:0.83																									0.36:8.03e-9:0.747:0.64	
Serpini1		0.35:0.0308:0.446:0.332	0.34:0.0127:0.519:0.417																															
Mxi1		0.34:0.000117:0.418:0.284						0.32:9.18e-15:0.399:0.265	0.17:0.00369:0.395:0.285																									
Ddx6		0.32:0.00218:0.561:0.45	0.49:3.22e-13:0.684:0.524						0.21:0.0000453:0.5:0.434																								0.19:0.00104:0.457:0.388	
Setd1b		0.31:0.000385:0.368:0.239	0.26:0.0104:0.43:0.327																															
Ddx5		0.31:0.0000891:0.874:0.818	0.77:3.01e-26:0.936:0.886						0.4:2.04e-19:0.968:0.939			0.46:0.000713:0.99:0.971																					0.4:1.31e-23:0.961:0.926	
Gm49980		0.3:0.00000324:0.172:0.07	0.22:0.000103:0.223:0.085																															
Oip5os1		0.3:0.0337:0.604:0.502	0.47:5.69e-7:0.731:0.64																				0.33:0.000774:0.51:0.385										0.21:0.0000536:0.613:0.533	
Pik3c2a		0.29:0.0234:0.247:0.151																																
Nudt4		0.29:0.0159:0.339:0.232	0.45:0.00000108:0.437:0.322					0.24:0.0333:0.373:0.303														-0.27:0.0012:0.906:0.964	0.5:6.69e-25:0.957:0.928	0.39:0.000114:0.933:0.935						1.5:0.0186:0.857:0.567				
Fus		0.28:0.00462:0.861:0.793	0.38:3e-8:0.879:0.836					0.34:2.68e-11:0.837:0.777		-0.38:0.0000426:0.569:0.71																							0.19:0.00006:0.487:0.406	
E130102H24Rik		0.27:0.00103:0.307:0.19	0.25:0.000112:0.285:0.14					0.24:0.00245:0.315:0.236																										
Acsl4		0.26:0.0332:0.251:0.158																																
Ppp1cb		0.26:0.019:0.544:0.428																					0.31:0.00000495:0.539:0.372											
Cry1		0.25:0.0000117:0.282:0.155							0.18:0.0000245:0.326:0.205																							0.31:0.0000127:0.149:0.085		
Usp19		0.25:0.00227:0.407:0.281						0.22:0.00522:0.423:0.341																										
Arpc5l		0.25:0.000805:0.488:0.359	0.28:0.00551:0.629:0.505																															
Fam169a		0.25:0.00182:0.506:0.378	0.4:2.04e-7:0.634:0.467						0.2:0.0282:0.716:0.694		0.34:0.0126:0.889:0.82	0.46:0.0151:0.919:0.854																				0.33:0.00000269:0.674:0.609	0.37:2.3e-16:0.714:0.621	
Shfl		0.25:0.0441:0.409:0.292																																
Snhg9		0.24:0.0000071:0.157:0.062					0.15:7.75e-14:0.171:0.078	0.34:7.98e-31:0.268:0.11															0.19:1.11e-9:0.382:0.185									0.35:2.46e-9:0.142:0.068		
Lonrf2		0.24:0.00833:0.439:0.308	0.37:6.1e-7:0.556:0.389																															
Sema4d		0.23:0.00386:0.181:0.092																																
